rt,mz,spectrum,intensity
1450.324,488.301501,432,116
1450.324,488.298043,433,97
1450.324,488.298043,434,118
1450.324,488.301501,436,92
1450.324,488.294586,437,169
1450.324,488.304958,438,69
1450.324,488.294586,439,175
1450.324,488.294586,440,244
1450.324,488.298043,441,249
1450.324,488.298043,442,111
1450.324,488.298043,443,389
1450.324,488.298043,444,124
1450.324,488.304958,445,139
1450.324,488.301501,446,342
1450.324,488.298043,447,234
1450.324,488.298043,448,193
1450.324,488.298043,449,371
1450.324,488.298043,450,88
1450.324,488.304958,451,56
1450.324,488.301501,452,114
1450.324,488.298043,453,141
1450.324,488.298043,454,101
1450.324,488.301501,455,149
1450.324,488.298043,456,12
1450.324,488.301501,457,149
1450.324,488.294586,458,30
1450.324,488.298043,459,97
1450.324,488.301501,460,52
1450.324,488.294586,461,20
1450.324,488.294586,462,52
1450.324,488.294586,468,49
1450.865,488.304958,433,121
1450.865,488.301501,434,70
1450.865,488.298043,435,103
1450.865,488.298043,436,123
1450.865,488.308415,436,117
1450.865,488.298043,437,190
1450.865,488.301501,438,160
1450.865,488.298043,440,137
1450.865,488.298043,441,395
1450.865,488.304958,442,210
1450.865,488.301501,443,261
1450.865,488.301501,444,423
1450.865,488.301501,445,331
1450.865,488.301501,446,342
1450.865,488.304958,447,371
1450.865,488.304958,448,352
1450.865,488.298043,449,212
1450.865,488.308415,449,218
1450.865,488.301501,450,319
1450.865,488.301501,451,240
1450.865,488.301501,452,402
1450.865,488.301501,453,249
1450.865,488.298043,454,254
1450.865,488.301501,455,266
1450.865,488.301501,457,133
1450.865,488.301501,458,100
1450.865,488.304958,459,122
1450.865,488.304958,460,45
1450.865,488.301501,461,58
1450.865,488.294586,462,88
1450.865,488.304958,463,81
1450.865,488.308415,464,83
1451.405,488.298043,434,156
1451.405,488.301501,435,166
1451.405,488.294586,436,204
1451.405,488.301501,438,322
1451.405,488.301501,439,299
1451.405,488.298043,441,584
1451.405,488.301501,442,502
1451.405,488.301501,443,573
1451.405,488.304958,444,544
1451.405,488.304958,445,989
1451.405,488.298043,446,634
1451.405,488.298043,447,685
